theta,t_c,gp_mean,L_true
17.600,0.550,0.0253,0.0090
18.200,0.550,0.0166,0.0022
18.800,0.550,0.0097,0.0015
19.400,0.550,0.0046,0.0008
20.000,0.550,0.0010,0.0000
20.600,0.550,-0.0013,0.0000
21.200,0.550,-0.0023,0.0000
21.800,0.550,-0.0024,0.0000
22.400,0.550,-0.0016,0.0000
23.000,0.550,-0.0001,0.0000
23.600,0.550,0.0018,0.0000
24.200,0.550,0.0041,0.0000
24.800,0.550,0.0064,0.0000
25.400,0.550,0.0088,0.0000
26.000,0.550,0.0110,0.0000
26.600,0.550,0.0129,0.0000
27.200,0.550,0.0145,0.0000
27.800,0.550,0.0157,0.0000
28.400,0.550,0.0163,0.0000
29.000,0.550,0.0164,0.0000
29.600,0.550,0.0159,0.0000
30.200,0.550,0.0149,0.0000
30.800,0.550,0.0133,0.0000
31.400,0.550,0.0112,0.0000
32.000,0.550,0.0086,0.0000
8.000,0.588,0.4616,0.4092
8.600,0.588,0.4269,0.3797
9.200,0.588,0.3923,0.3502
9.800,0.588,0.3582,0.3207
10.400,0.588,0.3249,0.2944
11.000,0.588,0.2925,0.2698
11.600,0.588,0.2613,0.2452
12.200,0.588,0.2316,0.2193
12.800,0.588,0.2035,0.1909
13.400,0.588,0.1771,0.1625
14.000,0.588,0.1527,0.1342
14.600,0.588,0.1303,0.1097
15.200,0.588,0.1099,0.0852
15.800,0.588,0.0916,0.0607
16.400,0.588,0.0755,0.0428
17.000,0.588,0.0615,0.0281
17.600,0.588,0.0494,0.0135
18.200,0.588,0.0394,0.0034
18.800,0.588,0.0312,0.0023
19.400,0.588,0.0247,0.0011
20.000,0.588,0.0197,0.0000
20.600,0.588,0.0162,0.0000
21.200,0.588,0.0140,0.0000
21.800,0.588,0.0128,0.0000
22.400,0.588,0.0125,0.0000
23.000,0.588,0.0128,0.0000
23.600,0.588,0.0138,0.0000
24.200,0.588,0.0150,0.0000
24.800,0.588,0.0165,0.0000
25.400,0.588,0.0180,0.0000
26.000,0.588,0.0194,0.0000
26.600,0.588,0.0205,0.0000
27.200,0.588,0.0214,0.0000
27.800,0.588,0.0219,0.0000
28.400,0.588,0.0219,0.0000
29.000,0.588,0.0214,0.0000
29.600,0.588,0.0203,0.0000
30.200,0.588,0.0188,0.0000
30.800,0.588,0.0167,0.0000
31.400,0.588,0.0141,0.0000
32.000,0.588,0.0110,0.0000
8.000,0.625,0.4957,0.4392
8.600,0.625,0.4608,0.4109
9.200,0.625,0.4260,0.3827
9.800,0.625,0.3915,0.3544
10.400,0.625,0.3577,0.3287
11.000,0.625,0.3247,0.3042
11.600,0.625,0.2929,0.2797
12.200,0.625,0.2624,0.2538
12.800,0.625,0.2334,0.2250
13.400,0.625,0.2061,0.1963
14.000,0.625,0.1807,0.1675
14.600,0.625,0.1572,0.1410
15.200,0.625,0.1358,0.1145
15.800,0.625,0.1164,0.0880
16.400,0.625,0.0991,0.0680
17.000,0.625,0.0839,0.0513
17.600,0.625,0.0707,0.0345
18.200,0.625,0.0595,0.0222
18.800,0.625,0.0501,0.0187
19.400,0.625,0.0424,0.0152
20.000,0.625,0.0363,0.0117
20.600,0.625,0.0317,0.0084
21.200,0.625,0.0283,0.0052
21.800,0.625,0.0260,0.0019
22.400,0.625,0.0247,0.0007
23.000,0.625,0.0241,0.0004
23.600,0.625,0.0240,0.0002
24.200,0.625,0.0244,0.0000
24.800,0.625,0.0249,0.0000
25.400,0.625,0.0256,0.0000
26.000,0.625,0.0262,0.0000
26.600,0.625,0.0266,0.0000
27.200,0.625,0.0267,0.0000
27.800,0.625,0.0265,0.0000
28.400,0.625,0.0259,0.0000
29.000,0.625,0.0248,0.0000
29.600,0.625,0.0232,0.0000
30.200,0.625,0.0211,0.0000
30.800,0.625,0.0185,0.0000
31.400,0.625,0.0154,0.0000
32.000,0.625,0.0119,0.0000
8.000,0.662,0.5219,0.4667
8.600,0.662,0.4871,0.4392
